image_path,food_name,MatchedRecipe,Ingredients,Instructions,PrepTimeInMins,CookTimeInMins,PackingTimeInMins,Diet,Course,Calories (kcal),Protein (g),Carbs (g),Fat (g)
organized_food/adhirasam/3a804a31ab.jpg,adhirasam,Sindhi Kadhi Recipe,"1 cup Arhar dal (Split Toor Dal),1 Tomato,1 cup Bhindi (Lady Finger/Okra) - slit lengthwise,2 tablespoons Sunflower Oil,1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Mustard seeds,2 Dry Red Chillies,10 Curry leaves,1 pinch Asafoetida (hing),2 tablespoons Gram flour (besan),1 teaspoon Red Chilli powder,1 tablespoon Tamarind Paste,1 teaspoon Turmeric powder (Haldi),1 tablespoon Jaggery - powdered,Salt - to taste","To begin making the Sindhi Kadhi Recipe, first wash and soak the toor dal for 1/2 an hour. Then put it in a pressure cooker along with tomatoes with enough water to completely submerge the dal.Close the lid of the pressure cooker and keep the whistle on. Pressure cook the dal until done, About 4 whistles and turn off the heat.Allow the pressure to release from the cooker naturally, then open the lid and mash the dal into a smooth mix using a potato masher or hand blender into a smooth purée.Place a deep pan on the heat, add 1 tablespoon oil and warm it. Then, add the slit okras and saute them on a medium flame until they are cooked through and lose the slime that okra tends to have. After about 6-7 minutes they will begin to crisp up.Transfer these okra onto a plate and set aside to be used later.In the same pan heat the remaining oil and warm it. Add mustard seeds, fenugreek seeds, asafoetida, curry leaves and red chillies in quick succession and let them crackle and crisp up.Once done add the besan next and saute lightly till the besan gets well coated with the oil, and browns evenly. You will know when he besan is roasted when it loses it's raw aroma and starts smelling toasted.To this gradually add a cup of water while continuously whisking, making sure that there are no lumps.Once the besan mixture has mixed well with the water, add the puréed dal to it and mix well. Allow it to simmer gently, while adding the tamarind paste, jaggery powder and mixing again.Bring the Sindhi kadhi to a boil and allow it to simmer for a couple of minutes.Lastly, add the cooked okra and simmer for another 5 minutes till the Sindhi kadhi reaches a silky, thick gravy consistency and all the flavours combine well.Serve Sindhi Kadhi Recipe with Steamed Rice and Sindhi Tuk Patata for a lovely meal.",10,60,5,High Protein Vegetarian,Lunch,450,4.0,60.0,22.0
organized_food/aloo_gobi/3c84676bd2.jpg,aloo_gobi,One Pot Aloo Gobi Recipe - One Pot Aloo Gobi (Recipe In Hindi),"2 potatoes - peel and chop, 1 cabbage - wash and chop, 1 inch ginger - grate, 2 tomatoes - make puree, 1/2 teaspoon cumin, 1 teaspoon turmeric powder, 1 teaspoon garam masala powder, 2 cardamoms, 1/4 teaspoon red chili powder, 2 sprigs of coriander - finely chop, oil - as per use, salt - as per taste.","To make one pot aloo gobi, first heat oil in a cooker. Add cumin, ginger, cardamom and cook for 10 seconds. After 10 seconds add tomato, potato, gobi, salt, red chili powder, turmeric powder, garam masala and 1/4 cup water. Mix everything well, close the cooker and cook for 3 whistles. Let the pressure release and serve. Serve One Pot Aloo Gobi Sabzi with Boondi Raita and Tawa Paratha for lunch.",10,30,5,Eggetarian,Main Course,110,2.1,15.0,5.2
organized_food/aloo_matar/58c57dc4b2.jpg,aloo_matar,Aloo Matar Sabzi Recipe,"2 potatoes - peel and chop, 1/2 cup green peas - steam, 1 onion - chop finely, 1 inch ginger, 1 cup tomato - make puree, 1/2 tsp cumin, 2 green chillies - cut thin and straight, 1/2 tsp garam masala powder, 1/2 tsp turmeric powder, 1/2 tsp red chilli powder, 1 tsp Kasuri fenugreek, salt - as per taste, 1/4 tsp sugar - to taste 1 tsp Nutralite Classic Spread - as per usage","To make Aloo Matar Sabzi Recipe, first prepare all the ingredients and keep them separately. Now heat one tablespoon of Nutralite Classic in a pressure cooker. Add cumin seeds in it and let it crackle. After the cumin seeds crackle, add onion and ginger and cook until the onion becomes soft. After the onion becomes soft, add tomato puree, green chillies and cook for 2 to 3 minutes. After 3 minutes add turmeric powder, garam masala powder, salt, red chilli powder and mix. After a minute, add potatoes and 1/2 cup water. Close the cooker and cook till 3 to 4 whistles. Turn off the gas and let the pressure release on its own. After the pressure is released, open the cooker and mix the potatoes and peas. If more water is required, add it and let it cook. Now add green peas in it, cook for 2 minutes and turn off the gas. Add kasuri methi, mix and serve. Serve Aloo Matar Sabzi Recipe with Ajwain Puri and Boondi Raita for lunch.",4,40,5,Vegetarian,Side Dish,120,3.5,18.0,4.0
organized_food/aloo_methi/13c322cce9.jpg,aloo_methi,Aloo Methi Masala Recipe – Aloo Methi Masala (Recipe In Hindi),"2 potatoes - boiled, 1 cup fenugreek - chopped, 1 onion - chopped, 1 tomato - chopped, 1 onion - chopped straight, 4 tablespoons coconut - grated, 4 red chillies, 6 whole black peppers, 1 teaspoon poppy seeds, 1 teaspoon turmeric powder, 4 cloves, 1 inch cinnamon, oil - as per use, 4 sprigs of coriander - chopped, salt - as per taste, 1 teaspoon sugar, 1 cup water, 1 tsp red chilli powder, 1/2 tsp turmeric powder, 1 tbsp garam masala powder - or goda masala, 1 tsp coriander powder","To make Aloo Methi Masala, first heat oil in a pan. Now add onion to it and cook till it becomes soft. After the onion becomes soft, add coconut, byadagi red chilli, whole black pepper, poppy seeds, turmeric powder, clove, cinnamon. After 30 seconds, add coconut and cook till it turns brown. After it turns brown, turn off the gas and make a paste. Keep it separately. Now heat oil in a pan. Add onion to it and cook until soft. Now add tomatoes to it and cook until tomatoes become soft. Now add potatoes and fenugreek in it. Cook for 1 minute. Add water in it and let it cook. After 5 minutes, add salt, turmeric powder, red chili powder, garam masala powder and coriander powder. Cook until the vegetables become soft, now add the ground spices to it and mix. Cook for 2 more minutes and garnish with green coriander.   Serve Aloo Methi Masala with Bundi Raita and Puri for weekend breakfast.",15,35,5,Vegetarian,Lunch,110,3.0,15.0,5.0
organized_food/aloo_shimla_mirch/36d3128094.jpg,aloo_shimla_mirch,Shimla Mirch Ki Launji Recipe,"1 cup Green Bell Pepper (Capsicum) - chopped,2 tablespoons Sunflower Oil,1/2 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Fennel seeds (Saunf),1 teaspoon Green Chillies - finely chopped,Turmeric powder (Haldi) - a pinch,2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Red Chilli powder,3/4 teaspoon Amchur (Dry Mango Powder),2-1/2 tablespoon Jaggery,Salt - to taste","To begin making the Shimla Mirch Ki Launji  recipe, heat the oil in a broad non-stick pan, add the nigella seeds, fennel seeds and green chillies and sauté on a medium flame till the aromas of the seeds comes through and the chilies are cooked..Now add the capsicum and sauté on a medium flame for a few more seconds.Add the turmeric powder, coriander powder, chilli powder and dried mango powder, mix well and cook on a medium flame for 1 minute.Add 1/2 cup of water, jaggery and salt, mix well and cook on a medium flame for 4 to 5 minutes or till the capsicum turns soft, while stirring occasionally.Serve the launji immediately or store in an air-tight container in the refrigerator for 2 to 3 days.Serve Shimla Mirch Ki Launji along with Tawa Paratha, Dal Palak and Homemade Yogurt for a weekday lunch.",5,15,5,Vegetarian,Side Dish,100,2.0,15.0,4.0
organized_food/aloo_tikki/5f4bd15aa6.jpg,aloo_tikki,Murgh Aloo Tikki Recipe - Chicken & Potato Tikki,"300 grams Chicken - minced,1 Potato (Aloo) - boiled and mashed well,1 Onion - finely chopped,4 Green Chillies - (adjust as spice preference) finely chopped,1-1/2 teaspoon Ginger Garlic Paste,1 Whole Egg,3 sprig Coriander (Dhania) Leaves - finely chopped,3 sprig Mint Leaves (Pudina) - finely chopped,Salt - to taste,1 tablespoon Black pepper powder,Sunflower Oil - for shallow frying","To begin making the Murgh Aloo Tikki Recipe recipe, in a mixing bowl add the minced chicken, boiled and mashed potatoes, onions, chillies, mint-coriander leaves, salt, pepper powder, ginger-garlic paste, egg and mix until well combined. Heat a cast iron pan for shallow frying.Divide the chicken mixture into equal portions. Take a portion, roll into ball shape and then flatten into discs.Add 1 teaspoon of oil on the pan. Place the chicken patties and shallow fry them on medium flame until golden brown and cooked on both sides.Remove from pan and place it on kitchen paper to drain all the excess oil.Serve Murgh Aloo Tikki Recipe with Dhaniya Pudina Chutney and Masala Chai Recipe - Indian Spiced Tea for an evening snack",10,25,5,Non Vegeterian,Appetizer,220,3.0,30.0,10.0
organized_food/anarsa/7d2f741bbb.jpg,anarsa,Maharashtrian Anarsa Recipe,"1 Cup Rice - soaked for 3 days (wash & change water everyday),1 Cup Jaggery - powdered,1/2 cup Milk,1/2 Ripe Bananas - (optional) mashed,3 tablespoons Poppy seeds,Sunflower Oil - for deep frying,Salt - a pinch","Drain the water from the bowl. Spread the drained rice in a cotton cloth and allow them to fry for 4-5 hours. Ensure that the rice should not lose its moisture completely. It has to retain the minimal amount of moisture.Grind them without adding water into a coarse powder. This is called Pithi. You could also use about 1-1/2 cups of rice flour directly to make this recipe as well.Now, in another bowl, add grounded rice, powdered jaggery and combine them together.Add milk little by little and mix them well. It should be in the dough consistency.The addition of banana ensures the sugar is completely dissolved. You can optionally add half of banana mashed, at this time and mix the dough till it comes together.Make small balls out of the dough.In a baking tray, spread poppy seeds evenly.Place the rice balls on the tray. Gently flattened the balls with your fingers so that one side of it is coated with poppy seeds. The flattened disc should retain their shape.In a Kadai, heat oil over medium heat.Once the oil is hot, place the flattened disc with Poppy seeds on the upper side and fry them in batches. Pour hot oil over the disc so that it is evenly cooked and puff up.Place the deep fried pastries on the tissue paper for the excess oil to drain.Deep fry the remaining anarse and serve Maharashtrian Anarsa Recipe warmly during tea time or as a part of a festive meal.",20,45,5,Vegetarian,Snack,410,4.0,60.0,17.0
organized_food/ariselu/5b33956121.jpg,ariselu,Andhra Style Makka Garelu Recipe,"1 cup sweet corn - (maize), 1/4 cup gram flour, 1 onion - chopped, 2 green chillies, 1 sprig of curry leaves, 4 cloves of garlic, 1 tsp nigella seeds, salt - as per taste, oil - as per use.","To make Andhra Style Makka Garelu Recipe, first put the corn in a mixer grinder and make a paste. Be careful not to grind too much. This mixture should be coarse. Put it in a mixing bowl. Now add gram flour, onion, green chilli, curry leaves, garlic, nigella seeds, salt and mix well. Keep it separately. Now heat oil in a pan. While the oil is heating, take the corn mixture and make small round discs. After the oil is hot, put these round discs in the oil one by one. Cook until brown and crisp. After it is cooked, take it out on a kitchen towel so that it absorbs excess oil. Serve hot. Serve Andhra Style Makka Garelu Recipe with Coconut Chutney or Coriander Mint Chutney and Masala Chai for snack.",10,30,5,Vegetarian,Snack,420,4.0,60.0,18.0
organized_food/bandar_laddu/11c32385af.jpg,bandar_laddu,Til Ke Laddu Recipe (Sesame Seeds Laddu Recipe),"250 grams Sesame seeds (Til seeds) - 2 cups,250 grams Jaggery,1/2 cup Dessicated Coconut,1/2 cup Roasted Peanuts (Moongphali) - crushed,1 teaspoon Cardamom Powder (Elaichi),2 tablespoon Ghee","We begin making the Til Ke Laddu Recipe (Sesame Seeds Laddu Recipe) by heating a flat nonstick Kadai. Keep it in a medium heat, add the sesame seeds and dry roast them till it changes colour. Remove and keep it aside.Then add the peanuts and dry roast them till it is brown. Remove from the flame and let it cool down, and ground it into a coarse mixture using mortar pestle.In the same pan, dry roast the desiccated coconut till it is golden brown and keep it aside.Mix all the 3 ingredients together along with cardamom powder and keep it aside.Next to prepare the jaggery syrup, heat the kadai and add the powdered jaggery with ½ cup water and keep stirring till all the lumps is mixed well.Keep stirring till it boils and reaches a soft boil stage. Which means when you add a drop of jaggery syrup on the table it has to stay in the shape of a drop and not spread. You can also check by add the the drops of jaggery into a bowl containing water, once you remove the jaggery out it should be sticky and have the soft ball shape.At this point switch of the flame, add the dry roasted mixture carefully and mix well. Take the pan away from the heat and keep it on the kitchen slab.You can wait for few minutes or when it is hot only, apply some ghee on to your palm and start making small balls and keep it on a plate to hold its shape.Serve the Til Ke Laddu Recipe (Sesame Seeds Laddu Recipe) as a Party Dessert for any festival occasion.",0,60,5,Vegetarian,Snack,450,8.0,55.0,22.0
organized_food/basundi/5b1ca61db2.jpg,basundi,Basundi / Rabri Recipe,"2 liter Milk,3/4 cup Sugar - (I like adding a little less sugar please adjust according to your taste),1 teaspoon Cardamom Powder (Elaichi),2 Saffron strands,1/4 cup Badam (Almond) - or pistachios","To begin making the Basundi Recipe, we will first have to condense the milk. To do this, place the milk on high heat over a heavy bottomed sauce pan and bring it boil.Add the sugar and stir continuously until the sugar dissolves. Once the sugar has dissolved and the milk is boiling vigorously for a few minutes reduce the heat to low and simmer the milk mixture stirring continuously until it is reduced to three fourths of its original quantity. The condensation will cause the cream from the milk to settle on the sides and bottom of the pan. Its important to keep scraping down the cream and adding it back to the condensing milk.The mixture will begin to thicken and get a creamy texture. It is important to make sure towards the end of the condensing process to be close to the stove monitoring the milk and stirring it continuously. The last stages are when the condensed milk can get burned at the bottom of the pan and completely alter the taste of the basundi.Note Again: During the process of condensation of the milk, keep stirring the cream that keep forms, as it will stick to the sides and bottom of of them pan, while stirring keep scrapping down the sides and bottom to prevent burning of the cream.Once the milk has reduced to half of its original quantity, turn off the heat. The Basundi (Rabri) is almost ready. All you have to do now is to  stir in the cardamom powder and the finely chopped nuts.Transfer the Basundi (Rabri) to a serving dish and allow it to cool before you can refrigerate for 3-4 hours. Serve the Basundi (Rabri) hot or cold, during any season or serve it as a party dessert and enjoy.Note: You can add fruits like Lychee's and Strawberries to make a delicious Strawberry Rabri or Lychee Rabri. And serve the Rabri chilled for the warm winter nights or after a spicy Indian Meal.Serve the Basundi as part of a dessert along with Badam Elaichi Kulfi Recipe With Condensed Milk, Pista ice cream and Falooda to make a quick Indian sundae. Likewise you can serve Rabri with Homemade Jalebi Recipe or Malpua With Rose And Saffron Syrup Recipe",10,45,5,Vegetarian,Dessert,220,7.0,20.0,12.0
